"target_uri";"fair_checker_score";"checker_percent_f";"checker_percent_a";"checker_percent_i";"checker_percent_r";"fair_checker_f1";"fair_checker_f2";"fair_checker_a1.1";"fair_checker_a1.2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_r1.2";"fair_checker_r1.3";"F1A";"F1B";"F2A";"F2B";"A1.1";"A1.2";"I1";"I2";"I3";"R1.1";"R1.2";"R1.3"
"https://www.ebi.ac.uk/ena/browser/view/PRJEB42795?show=reads";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://www.ebi.ac.uk/pride/archive/projects/PXD024375";58,33;62,5;50;50;66,67;50;75;100;0;50;100;0;0;100;100;2;0;1;2;2;0;1;2;0;0;2;2
"https://figshare.com/articles/dataset/Data_Sheet_1_The_Effect_of_Allicin_on_the_Proteome_of_SARS-CoV-2_Infected_Calu-3_Cells_XLSX/16894696?backTo=/collections/The_Effect_of_Allicin_on_the_Proteome_of_SARS-CoV-2_Infected_Calu-3_Cells/5682514";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"https://www.ebi.ac.uk/pride/archive/projects/PXD023740/";58,33;62,5;50;50;66,67;50;75;100;0;50;100;0;0;100;100;2;0;1;2;2;0;1;2;0;0;2;2
"https://figshare.com/articles/dataset/Table1_Altered_Glycosylation_in_the_Aging_Heart_XLSX/14694453?backTo=/collections/Altered_Glycosylation_in_the_Aging_Heart/5442648";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155945";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"http://doi.org/10.5281/zenodo.4362503";91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88710";16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"https://figshare.com/articles/dataset/EEG_resting_state_power_before_during_and_after_60_days_of_bed_rest/12148359?file=25963484";83,33;87,5;100;50;100;100;75;100;100;50;100;0;100;100;100;2;2;1;2;2;2;1;2;0;2;2;2
"http://doi.org/10.6084/m9.figshare.13633790";91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
