"ID";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data"
"https://www.ebi.ac.uk/emdb/EMD-10611";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/pride/archive/projects/PXD020453";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160845";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/pride/archive/projects/PXD018651";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001673";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/pride/archive/projects/PXD020175";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156544";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153105";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166555";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://github.com/molsysbio/sccrc/tree/master/_data";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159978";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://doi.org/10.5281/zenodo.4434363";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153894";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/pride/archive/projects/PXD024707";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://doi.org/10.6084/m9.figshare.14778417";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185854";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR11498174";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146284";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://github.com/hdsu-bioquant/irene-data";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/DataSheet1_A_Systematic_Review_of_Transcriptional_Dysregulation_in_Huntington_s_Disease_Studied_by_RNA_Sequencing_XLSX/16816798?backTo=/collections/A_Systematic_Review_of_Transcriptional_Dysregulation_in_Huntington_s_Disease_Studied_by_RNA_Sequencing/5663986";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12678969";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Table_2_Evidence_of_B_Cell_Clonality_and_Investigation_Into_Properties_of_the_IgM_in_Patients_With_Schnitzler_Syndrome_xlsx/13324736?backTo=/collections/Evidence_of_B_Cell_Clonality_and_Investigation_Into_Properties_of_the_IgM_in_Patients_With_Schnitzler_Syndrome/5227352";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13009845";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124719";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Table_1_Modulation_of_Liver_Inflammation_and_Fibrosis_by_Interleukin-37_XLSX/14160740?backTo=/collections/Modulation_of_Liver_Inflammation_and_Fibrosis_by_Interleukin-37/5326814";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
